id,name,postId,artistId,totalChap,totalView,hashTags,originalPath,thumbnail,description,categoryIds,createdAt
arai_kei_1,Boku no Senpai Kanojo wa OtaCir no Hime ni Naru,hentaifox,arai_kei,1,1,hentaifox,,https://i2.hentaifox.com/004/2770077/cover.jpg,,"site,hentaifox",2020-01-01
arai_kei_2,Knock-Up Game,hentaifox,arai_kei,1,1,hentaifox,,https://i.hentaifox.com/004/2252118/cover.jpg,,"site,hentaifox",2020-01-01
ashiomi_masato_1,Satisfaction Guaranteed,hentaifox,ashiomi_masato,1,1,hentaifox,,https://i2.hentaifox.com/003/2054205/cover.jpg,,"site,hentaifox",2020-01-01
linda_1,Bleach Dj- Orihime,hentaifox,linda,1,1,hentaifox,,https://h10.hmangasearcher.com/manga/101/Bleach%20Dj%20-%20Orihime%20%28linda%20Project%29/1/1.jpg,,"site,hentaifox",2020-01-01
linda_2,Bleach Dj- Nanao,hentaifox,linda,1,1,hentaifox,,https://h10.hmangasearcher.com/manga/101/Bleach%20Dj%20-%20Nanao%20%28linda%20Project%29/1/1.jpg,,"site,hentaifox",2020-01-01
linda_3,Bleach Dj- Rangiku,hentaifox,linda,1,1,hentaifox,,https://h10.hmangasearcher.com/manga/101/Bleach%20Dj%20-%20Rangiku%20%28linda%20Project%29/1/1.jpg,,"site,hentaifox",2020-01-01
linda_4,My wife became a Cum Dump,hentaifox,linda,1,1,hentaifox,,https://m6.hentairox.com/020/6t9zfyrnu1/cover.jpg,,"site,hentaifox",2020-01-01
linda_5,Love Sharing,hentaifox,linda,1,1,hentaifox,,https://i2.hentaifox.com/004/2495485/cover.jpg,,"site,hentaifox",2020-01-01
linda_6,Naruto,hentaifox,linda,1,1,hentaifox,,https://www.hentaicloud.com/media/photos/1121223.jpg,,"site,hentaifox",2020-01-01
date_1,"Doukyo Suru Neneki ",hentaifox,date,1,1,hentaifox,,https://m5.hentairox.com/017/fzmgh3kaen/cover.jpg,,"site,hentaifox",2020-01-01
date_2,Reincarnation,hentaifox,date,1,1,hentaifox,,https://m5.hentairox.com/016/w7vup9qsfb/cover.jpg,,"site,hentaifox",2020-01-01
dramus_1,Hitorijime,hentaifox,dramus,1,1,hentaifox,,https://m5.hentairox.com/018/c1n2yihpj3/thumb.jpg,,"site,hentaifox",2020-01-01
izayoi_seishin_1,Boshi Double Soukan [EN],hentaifox,izayoi_seishin,1,1,hentaifox,,https://m5.hentairox.com/017/yjfp5n6icm/cover.jpg,,"site,hentaifox",2020-01-01
izayoi_seishin_2,Boshi Double Soukan [JP],hentaifox,izayoi_seishin,1,1,hentaifox,,https://m5.hentairox.com/017/yjfp5n6icm/cover.jpg,,"site,hentaifox",2020-01-01
izayoi_seishin_3,InY Akajuutan + Omake [EN],hentaifox,izayoi_seishin,1,1,hentaifox,,https://m4.hentairox.com/014/3pz6y9nw5g/1.jpg,,"site,hentaifox",2020-01-01
