id,name,componentId,resourceIds,totalView,thumbnail,description,categoryIds,createdAt
chilloutmix,chilloutmix,gallery,civitai,1,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/cc2b7657-080f-4adc-529d-011cbf69ba00/width=1200/00009-3389180500-_lora_chillou___.jpeg,This model has been republished and its ownership transferred to Civitai with the full permissions of the model creator. They have asked that all identifying information about them be removed from the model details.,stable_diffusion,20240-01-01
majicmix_realistic,majicmix_realistic,gallery,civitai,1,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/23f3d38a-a9f0-4932-ac06-2cf336cbc77e/original=true/00038-4216575493-1girlhair%20with%20bangsblack%20long%20dressorange%20background.jpeg,"A good looking model, suitable for NSFW and dark scene (because I added noiseoffset). long-range facial detail require inpainting to achieve the best results. You can also use after detailer.","stable_diffusion,majicmix_realistic",20240-01-02
perfect_world,perfect world,gallery,civitai,1,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/04bf69aa-af74-4f29-3a81-fa11c613f000/width=512/320360.jpeg,"<p>The pursuit of perfect balance between realism and anime, a semi-realistic model aimed to achieve beautiful realistic faces with sexy hentai bodies.</p><p>This model aims to be flexible with all kinds of NSFW/hentai concepts, so a large portion of the merge will be hentai models. </p>",stable_diffusion,20240-01-03
deliberate,deliberate,gallery,civitai,1,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/2e64a7f6-d1f1-4350-0900-97ce0cf4fd00/width=768/00110-1874851259-a%20woman%20white%20white%20hair%20nice%20body%20white%20dress%20(realistic%20photo_1.4)%20close%20up%20a%20summer.jpeg,"<p>The more power of prompt knowledges you have, the better results you'll get. It basically means that you'll never get a perfect result with just a few words. </p><p>You have to fill out your prompt line extremely detailed.</p><p>Who find this model perfect</p>",stable_diffusion,20240-01-04
beautiful_realistic_asians,beautiful_realistic_asians,gallery,civitai,1,https://image.civitai.com/xG1nkqKTMzGDvpLrqFT7WA/5ee60e14-be5a-455c-323e-a0b2eaf03900/width=600/02001-1435007969-updo1girl%20solobrown%20hairlooking%20looking%20at%20viewerbrown%20eyesear%20simple%20background%20realistic%20shirt%20closed%20mouth%20black%20s.jpeg,BRA (Beautiful Realistic Asians) is a famous model that can generate realistic Japanese illustrations with Stable Diffusion,stable_diffusion,20240-01-05
relationship,relationship,gallery,gg_driver,1,https://cloudfront.slrlounge.com/wp-content/uploads/2022/01/best-friends-picture-ideas.jpg,"An intimate relationship is an interpersonal relationship that involves physical or emotional intimacy. Although an intimate relationship is commonly a sexual relationship, it may also be a non-sexual relationship involving family, friends, or acquaintances",stable_diffusion,20240-01-06
star,star,gallery,gg_driver,1,https://i.bloganchoi.com/bloganchoi.com/wp-content/uploads/2021/02/tong-dat-696x391.jpg?fit=700%2C20000&quality=95&ssl=1&is-pending-load=1,"Famous for being famous is a term, usually used pejoratively, for someone who attains celebrity status for no clearly identifiable reason (as opposed to fame based on achievement, skill, or talent) and appears to generate their own fame, or someone who achieves fame through a family or relationship association with an existing celebrity",stable_diffusion,20240-01-07
photo,photo,gallery,,1,https://www.pumpkin.care/wp-content/uploads/2021/03/Husky-Hero.jpg,"Animals are multicellular, eukaryotic organisms in the biological kingdom Animalia. ",photography,20240-01-08
china,china,video,gg_driver,1,https://i.pinimg.com/originals/05/65/b4/0565b4984f60ec9b5386e1dc6706b169.gif,"China, officially the People's Republic of China, is a country in East Asia. It has a population exceeding 1.4 billion. China spans the equivalent of five time zones and borders fourteen countries by land, the most of any country in the world",region,20240-01-09
japan,japan,video,gg_driver,1,https://blog.kakaocdn.net/dn/boxx7s/btrbhZklO7G/tf2XybiYLBn0HXhaHsajg0/img.gif,"Japan is an island country in East Asia. It is situated in the northwest Pacific Ocean and is bordered on the west by the Sea of Japan, extending from the Sea of Okhotsk in the north toward the East China Sea, Philippine Sea, and Taiwan in the south",region,20240-01-10
korean,korean,video,gg_driver,1,https://p9.itc.cn/images01/20220619/3b9f1483b67d4b3b8df81c5007da627b.gif,"Korean (South Korean: 한국어, hangugeo; North Korean: 조선말, chosŏnmal) is the native language for about 81.7 million people, mostly of Korean descent.It is the official and national language of both South Korea and North Korea. ",region,20240-01-11
thailan,thailan,video,gg_driver,1,https://ss-images.saostar.vn/2018/06/24/3075244/giphy.gif,"Thailand is a Southeast Asian country. It's known for tropical beaches, opulent royal palaces, ancient ruins and ornate temples displaying figures of Buddha. In Bangkok, the capital, an ultramodern cityscape rises next to quiet canalside communities and the iconic temples of Wat Arun, Wat Pho and the Emerald Buddha Temple (Wat Phra Kaew). Nearby beach resorts include bustling Pattaya and fashionable Hua Hin",region,20240-01-12
vietnam,vietnam,video,gg_driver,1,https://i.makeagif.com/media/11-07-2018/iRzBjr.gif,"Vietnam (Vietnamese: Việt Nam officially the Socialist Republic of Vietnam (SRV), is a country at the eastern edge of mainland Southeast Asia, with an area of 331,700 square kilometres (128,100 sq mi) and a population of over 100 million, making it the world's fifteenth-most populous country. Vietnam shares land borders with China to the north, and Laos and Cambodia to the west.",region,20240-01-13
russian,russian,video,gg_driver,1,https://giffiles.alphacoders.com/207/207832.gif,"<p>Russia or the Russian Federation, is a transcontinental country spanning Eastern Europe and Northern Asia. It is the largest country in the world</p><p>Russia extends across eleven time zones and shares land boundaries with fourteen countries.It is the world's ninth-most populous country and Europe's most populous country. The country's capital and largest city is MoscowSaint Petersburg is Russia's cultural centre and second-largest city. Other major urban areas in the country include Novosibirsk, Yekaterinburg, Nizhny Novgorod, Chelyabinsk, Krasnoyarsk, and Kazan.</p>",region,20240-01-14
germany,germany,video,gg_driver,1,https://media.gq.com/photos/55e8a25989c0d3e261b1c9b8/master/w_1600%2Cc_limit/Bella-Hadid-gif-1.gif,"<p>Germany,[e] officially the Federal Republic of Germany, is a country in Central Europe</p><p>It is the second-most populous country in Europe after Russia, and the most populous member state of the European Union.Germany is situated between the Baltic and North seas to the north, and the Alps to the south.Its 16 constituent states are bordered by Denmark to the north, Poland and the Czech Republic to the east, Austria and Switzerland to the south, and France, Luxembourg, Belgium, and the Netherlands to the west.The nation's capital and most populous city is Berlin and its main financial centre is Frankfurt; the largest urban area is the Ruhr.</p>",region,20240-01-15
eu_union,eu union,video,gg_driver,1,https://www.icegif.com/wp-content/uploads/irish-icegif-17.gif,"<p>The European Union (EU) is a supranational political and economic union of 27 member states that are located primarily in Europe.</p><p>The union has a total area of 4,233,255 km2 (1,634,469 sq mi) and an estimated total population of nearly 447 million.The EU has often been described as a sui generis political entity (without precedent or comparison) combining the characteristics of both a federation and a confederation.</p>",region,20240-01-16
hentaifox,hentaifox,comic,hentaifox,1,https://foxify.art/logo/logo-primary-nobg.png,"HentaiFox is the ultimate source for all your hentai needs. Enjoy free hentai manga, adult doujinshi, xxx comics and anime porn. Our database grows daily",hentaifox,20240-01-17
